Timestamp,A1 What is your age?,A2 What is your sexual orientation?,A2.1 What is your gender identity?,A3 Where do you currently live?,"A4 In your own words, why do you use Bumble?",A5 How often do you use Bumble?,A6 How long have you been using Bumble,A7 Have you ever paid for a bumble feature— whether in the past or recently?,"A8 If yes, which feature(s) did you pay for? (Select all that apply) If no, check None only.","A9 On a scale of 1 to 4, how would you rate your satisfaction in using Bumble so far?

1 - Very dissatisfied
2 - Dissatisfied
3 - Satisfied
4 - Very satisfied
",A10 What type of connection do you use Bumble the most for?,"D1 When seeking dating opportunities on Bumble, do you have a specific goal in mind? (Select one/all that apply)",D2 Do you use your real name when creating a dating account in Bumble?,"D3 On the previous question, briefly explain why you do/do not use your real name?",D4 How many matches (on average) do you typically make in a week?,D5 How do you approach the swiping feature on Bumble personally?,"D6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference?",D7 What type of people do you usually look for in Bumble Dating?,D8 What type of people do you prefer to date?,D9 Do you first move or first message someone you've matched with on Bumble?,"D10 For the previous question, why or why not?",D11 What is/are the biggest challenge/s you face when looking for dates on Bumble?,D12 What are your biggest dislikes when interacting with people you've matched with?,"D13 In a scale of 1 to 5, rate on how Bumble affected your social life.","D14 In a scale of 1 to 5, rate on how Bumble affected your self-confidence.",D15 Share what learning experience/s you've learned by using Bumble to find a date or love as a student.,"B1 When finding friends on Bumble, do you have a specific goal in mind? (Select one/all that apply)",B2 Do you use your real name when creating a BFF account in Bumble?,"B3 On the previous question, briefly explain why you do/do not use your real name? ",B4 How many matches (on average) do you typically make in a week?,B5 How do you approach the swiping feature on Bumble personally?,"B6 Based on (Same Age/Different Age), can you briefly explain the reason for this preference? ",B7 What type of people do you usually look for in Bumble BFF?,B8 What type of people do you prefer to become friends with?,B9 Do you first move or first message someone you've matched with on Bumble? ,"B10 For the previous question, why or why not?",B11 What is/are the biggest challenge/s you face when looking for friends on Bumble? ,B12 What is the main reason you're seeking new friends right now?,B13 Have you ever met any of your BFF match in person?,B14 Estimate how many friends (may it be real life or online) you've made over the course of your Bumble BFF use?,B15 Share what learning experience/s you've learned by using Bumble to find a friend/s as a student. ,"C1 When finding people in Bizz on Bumble, do you have a specific goal in mind? (Select one/all that apply)",C2 Do you use your real name when creating a professional account in Bumble Bizz?,"C3 On the previous question, briefly explain why you do/do not use your real name? ",C4 How many matches (on average) do you typically make in a week?,C5 How do you approach the swiping feature on Bumble personally? ,C6 What type of people do you usually look for in Bumble Bizz?,C7 How often do you reach out to new contacts on Bumble for business purposes?,C8 What is/are the biggest challenge/s you face when looking for professionals in Bumble?,C9 What do you believe is the biggest advantage of using Bumble for your networking goals?,C10 Have you ever secured a Bumble business contact over the course of your Bumble Bizz usage?,"C11 From the previous question, can you estimate how many matches you've made so far?",C12 Do you find your conversations on Bumble Bizz leads to follow-ups or further networking opportunities on other platforms or face-to-face meetups?,"C13 In a scale of 1 to 5, rate on how Bumble Bizz affected your self-confidence","C14 In a scale of 1 to 5, rate on how Bumble Bizz helped you in your career growth.",C15 Share what learning experience/s you've learned by using Bumble to find professional connections.
5/24/2025 10:38:20,27,Heterosexual (straight),Male,Cavite,dating,Few times a week,6-12 months,No,None,3,Dating,"Ethical Monogamy, Life partner, Long-term relationship",Yes,to build trust,20+,Selective swiping - I swipe right only on profiles that genuinely catch my interest,i don't like dating someone too old or too young,"Same Age, Different Age",Women,Yes,"to cut the chase, if I swiped right then it means I am interested","I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",ghosting,3 - No Impact,3 - No Impact,"you don't have to be too serious in using the app, if they don't vibe or respond to you then just move on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2025 10:49:53,22,Heterosexual (straight),Female,Cavite,dating,Few times a month,3-6 months,No,None,3,Dating,"Fun, casual dates",No,safety reasons,40-60,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",i prefer older guys,"Same Interests, Different University/College, Different Degree Program, Different Age, Different Location",Men,No,i prefer getting approached,Matches with people that ghosts or unexpectedly unmatches,doesn't ask questions back,3 - No Impact,3 - No Impact,"some people just use bumble for  ego boosting, they would match with you but wouldn't really talk to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2025 13:53:07,20,Heterosexual (straight),Female,Cavite,dating,Few times a month,6-12 months,No,None,2,Dating,"Fun, casual dates",Yes,i just want to,20,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",guys my age aren't that good,"Different University/College, Different Degree Program, Different Age, Different Location",Men,No,i do not like making the first move,"Geographic distance, Having similar relationship goals","dry texting, no humor, seem to be uninterested despite swiping",3 - No Impact,5 - Very Positively Improved my self-confidence,not to trust anyone online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2025 0:47:20,24,Heterosexual (straight),Female,Cavite,meet new people,Few times a week,More than a year,No,None,2,Dating,"Fun, casual dates",Yes,no apparent reason,50-100,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",a simple preference to younger boys but hindi sobrang bata mga 2-3 years,"Same Interests, Different University/College",Men,Yes,it's no big deal to make the first move,"Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type",ghosters,3 - No Impact,3 - No Impact,do not take things seriously when using a dating app ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2025 23:52:08,22,Heterosexual (straight),Female,Cavite,date,Few times a week,6-12 months,No,None,2,Dating,"Fun, casual dates",Yes,i feel comortable using my name,60-100,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",as long as they are not too young or too old,"Same Age, Same Interests",Men,No,i do not like wasting my time on people who don't even want to engage on bumble so i will just wait for someone who really wants to interact,"Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",ang daming makikipagmatch pero di naman makikipagusap kapag nagreply ka ,3 - No Impact,3 - No Impact,people just use dating apps for ego boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2025 0:03:23,21,Heterosexual (straight),Female,Cavite,"socialization, dating",Few times a week,More than a year,No,None,3,Dating,"Fun, casual dates",Yes,my name is generic so privacy is not an issue,40-80,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",different age pero older men,Same Interests,Men,No,i do not like making the first move,"Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",di sila marunong makipagusap ????,3 - No Impact,3 - No Impact,do not take things seriously in bumble kasi iiyak ka lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2025 13:22:08,22,Heterosexual (straight),Female,Cavite,i've been working on improving how I carry conversations ,Few times a week,1-3 months,No,None,2,Dating,"Fun, casual dates",Yes,they don't know anyway if it's real or fake,80-100,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I have a limit of not older or younger than 5 years,Same Interests,Men,Yes, i am practicing my conversation skills so one of the things I'm practicing is how to start a conversation with someone,"Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",i thought i was a dry texter but it turns out there are people who are worst than me when talking to someone,3 - No Impact,3 - No Impact,"i think the way how people engage in conversations already show if how interested they are with you. so if someone doesn't try enough to get to know you more in chats, then it's a sign that they're probably just talking to you so they can talk about themselves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2025 15:37:13,20,Heterosexual (straight),Female,Cavite,curious,Few times a week,1-3 months,No,None,2,Dating,"Fun, casual dates",No,safety,100,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",i don't mind either but greater than 5-year difference is too much,Same Interests,Men,Yes,"it's just a message, nothing serious","Matches that don't respond, Not enough matches",they don't know how to carry a conversation,3 - No Impact,3 - No Impact,i don't think anyone is really serious on bumble unless they're already at the part of their life where they are ready to settle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2025 0:07:45,23,Heterosexual (straight),Male,Laguna,For entertainment,Few times a month,3-6 months,No,None,3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",Yes,So they can look for my name in other socials,13,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",Same age = can most likely relate with what im talking about,"Same Age, Same Interests",Women,Yes,to make a memorable first impression,"Finding genuine connections, Having similar relationship goals, Matches that don't respond, Not enough matches",Lack of Effort,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,it somehow improved my communication skills and confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2025 4:53:15,21,Heterosexual (straight),Female,Cavite,dating,Few times a week,3-6 months,No,None,2,Dating,"Fun, casual dates",Yes,i want to,70-90,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",different age is okay but not too old or too young,Same Interests,Men,No,i don't like getting ignored,"Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type","dry kausap, di marunong magtanong pabalik, yung usapan tungkol lang sa kanila, pinipilit ng iba mag-english minsan (pet peeve ko iyon sorry), snobber",3 - No Impact,3 - No Impact,"i don't think Bumble is the appropriate place to look for love, maybe organic dating is still better ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2025 17:21:36,22,Gay,Male,Laguna,To find a partner for causal dates,Few times a month,More than a year,No,None,2,Dating,"Fun, casual dates, Intimacy, without commitment",No,I don’t want them stalking my other socmed accs,4-5,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,"I only use bumble when I’m bored, hence the mood-based swiping","Same Age, Same Location, Same Interests, Different University/College, Different Degree Program",Men,No,I usually don’t have the energy to start the convo,"Finding genuine connections, Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type",Bland convo,3 - No Impact,3 - No Impact,Not everything on the bumble is true. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
